model_id,display_name,vendor,params,context_window,pricing_input_per_million,pricing_output_per_million,modalities,notes,source
arliai/qwq-32b-rpr-v1:free,QwQ 32B RpR v1,ArliAI,32B,up to 128K,$0,$0,text,Roleplay/creative writing tuned; long-context optimized,turn1view0
agentica/deepcoder-14b-preview:free,Deepcoder 14B Preview,Agentica,14B,~96K reported,$0,$0,text,Code-generation optimized,turn1view0
moonshotai/kimi-vl-a3b-thinking:free,Kimi VL A3B Thinking,MoonshotAI,~3B active (Mixture-of-Experts),128K,$0,$0,text+image,"Vision-language, thinking-mode available",turn1view0
meta-llama/llama-4-maverick:free,Llama 4 Maverick 17B Instruct,Meta,17B active (MoE),"1,000,000 tokens (reported)",$0,$0,text+image,High-capacity multimodal MoE model,turn1view0
meta-llama/llama-4-scout:free,Llama 4 Scout 17B Instruct,Meta,17B active (MoE),reported large (multi-million tokens claimed),$0,$0,text+image,Efficiency-focused Scout variant,turn1view0
qwen/qwen2.5-vl-32b-instruct:free,Qwen2.5 VL 32B Instruct,Qwen,32B,"~8K-128K (listed 8K base, variants support larger)",$0,$0,text+image,Multimodal reasoning-focused,turn1view0
qwen/qwq-32b:free,QwQ 32B,Qwen,32B,128K,$0,$0,text,Reasoning-focused variant,turn1view0
deepseek/deepseek-v3-0324:free,DeepSeek V3 0324,DeepSeek,(MoE) large; reported 685B family,~164K reported,$0,$0,text,Flagship chat/reasoning model family,turn1view0
mistralai/mistral-small-3.1-24b:free,Mistral Small 3.1 24B,Mistral,24B,128K,$0,$0,text+image,Efficient multimodal small-3 series,turn1view0
google/gemma-3-4b:free,Gemma 3 4B,Google,4B,128K (Gemma family supports up to 128K),$0,$0,text+image,"Multimodal, multilingual",turn1view0
google/gemma-3-12b:free,Gemma 3 12B,Google,12B,128K,$0,$0,text+image,Larger Gemma 3 variant,turn1view0
google/gemma-3-27b:free,Gemma 3 27B,Google,27B,128K,$0,$0,text+image,Top Gemma 3 open variant,turn0search4
reka/flash-3:free,Flash 3,Reka,~21B (reported),32K,$0,$0,text,"Instruction-tuned, Apache-2.0 release",turn1view0
nous/deephermes-3-llama-3-8b-preview:free,DeepHermes 3 (Llama 3 8B Preview),Nous Research,8B,131K reported,$0,$0,text,Unified reasoning + intuitive modes,turn1view0
dolphin/dolphin3.0-r1-mistral-24b:free,Dolphin 3.0 R1 Mistral 24B,Dolphin3.0,24B,33K-108K reported,$0,$0,text,General-purpose instruct model family,turn1view0
dolphin/dolphin3.0-mistral-24b:free,Dolphin 3.0 Mistral 24B,Dolphin3.0,24B,108K reported,$0,$0,text,Stable R1 sibling,turn1view0
z-ai/glm-4.5-air:free,GLM 4.5 Air,Z.AI,~21B reported in listing,131K reported,$0,$0,text,Lightweight GLM-4.5 MoE variant; thinking/non-thinking modes,turn0search3
tngtech/deepseek-r1t-chimera:free,DeepSeek R1T Chimera,TNG/DeepSeek,R1 family (varied),reported large,$0,$0,text,R1T Chimera variant listed as free,turn0search3
qwen/qwen3-4b:free,Qwen3 4B (free),Qwen,4B,~96K reported,$0,$0,text,Entry-level Qwen3 open variant,turn1view0
